2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=274 raw_class=Sedan raw_conf=0.378 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=277 raw_class=Sedan raw_conf=0.376 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=280 raw_class=Sedan raw_conf=0.381 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=284 raw_class=Sedan raw_conf=0.379 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=287 raw_class=Sedan raw_conf=0.387 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=290 raw_class=Sedan raw_conf=0.386 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=294 raw_class=Sedan raw_conf=0.363 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=297 raw_class=Sedan raw_conf=0.371 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=300 raw_class=Sedan raw_conf=0.370 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=304 raw_class=Sedan raw_conf=0.369 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=307 raw_class=Sedan raw_conf=0.373 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=310 raw_class=Sedan raw_conf=0.373 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:01 [INFO] uvh_test.main: Processed 100 frames... Count: 0
2026-08-28 13:00:01 [DEBUG] uvh_test.main: frame=340 raw_class=Two-wheeler raw_conf=0.723 kept_by_bytetrack=True track_id=1
2026-08-28 13:00:01 [DEBUG] uvh_test.main: frame=340 raw_class=bicycle raw_conf=0.494 kept_by_bytetrack=False track_id=None
2026-08-28 13:00:01 [DEBUG] uvh_test.main: frame=344 raw_class=Two-wheeler raw_conf=0.722 kept_by_bytetrack=True track_id=1
